,ID,RA,DEC,z,z_Err,flag,source,comments,totobs,totexp
151,b'020114108',36.460699,-4.754955,0.222,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
152,b'020114265',36.45881,-4.755042,0.735,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
153,b'020114571',36.573475,-4.753993,0.455,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
154,b'020114689',36.645567,-4.754082,1.723,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
155,b'020115093',36.554806,-4.75316,0.817,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
156,b'020115277',36.700361,-4.752658,0.852,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
157,b'020115316',36.48934,-4.752452,0.682,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
158,b'020115494',36.850285,-4.751748,0.961,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
159,b'020115642',36.378974,-4.752445,0.604,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
160,b'020115652',36.442487,-4.751913,0.388,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
161,b'020116057',36.309352,-4.750291,0.917,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
